phenotype	description	group
F_menarche	Age when periods started (menarche)	sex-specific factors
fall_1y	Falls in the last year	injuries & poisonings
fat_perc	Body fat percentage	physical measures
FEV1	Forced expiratory volume in 1-second (FEV1), Best measure	physical measures
fluid_intelligence	Fluid intelligence score	physical measures
foreboding_feelings	Recent feelings of foreboding	psychiatric disorders
fracture_5y	Fractured/broken bones in last 5 years	injuries & poisonings
FVC	Forced vital capacity (FVC), Best measure	physical measures
geek_time	Time spent watching television (TV) or using computer	lifestyle and environment
glasses	Wears glasses or contact lenses	physical measures
haematocrit_perc	Haematocrit percentage	biological measures
haemoglobin	Haemoglobin concentration	biological measures
hand_grip_strength	Hand grip strength (mean of both)	physical measures
hard_falling_asleep	Trouble falling asleep	symptoms
headaches_for_3m	Headaches for 3+ months	symptoms
height	Standing height	physical measures
immature_reticulocyte_frac	Immature reticulocyte fraction	biological measures
income	Average total household income before tax	lifestyle and environment
insomnia	Sleeplessness / insomnia	lifestyle and environment
LDL	LDL direct	biological measures
left_handed	Handedness (chirality/laterality)	physical measures
less_alcohol	Alcohol intake frequency	lifestyle and environment
less_happy	General happiness	lifestyle and environment
less_happy_with_health	General happiness with own health	lifestyle and environment
less_tanned	Ease of skin tanning	physical measures
log_age_first_sex	Age first had sexual intercourse	lifestyle and environment
log_ALP	Alkaline phosphatase	biological measures
log_ALT	Alanine aminotransferase	biological measures
log_AST	Aspartate aminotransferase	biological measures
log_basophil_perc	Basophil percentage	biological measures
log_bilirubin	Total bilirubin	biological measures
log_BMI	Body mass index (BMI)	physical measures
log_creatinine	Creatinine	biological measures
log_creatinine_urine	Creatinine (enzymatic) in urine	biological measures
log_CRP	C-reactive protein	biological measures
log_cystatinC	Cystatin C	biological measures
log_ECG_QRS_duration	QRS duration	physical measures
log_eosinophil_perc	Eosinophil percentage	biological measures
log_fat_free_mass	Whole body fat-free mass	physical measures
log_fat_mass	Whole body fat mass	physical measures
log_glucose	Glucose	biological measures
log_HbA1c	Glycated haemoglobin (HbA1c)	biological measures
log_HDL	HDL cholesterol	biological measures
log_heel_BMD	Heel bone mineral density (BMD)	physical measures
log_heel_BUA	Heel Broadband ultrasound attenuation, direct entry	physical measures
log_heel_SoS	Speed of sound through heel	physical measures
log_hip_circ	Hip circumference	physical measures
log_HLR_reticulocyte	High light scatter reticulocyte count	biological measures
log_IGF1	IGF-1	biological measures
log_impedance	Impedance of whole body	physical measures
log_leukocyte	White blood cell (leukocyte) count	biological measures
log_lipoA	Lipoprotein A	biological measures
log_log_gammaGT	Gamma glutamyltransferase	biological measures
log_lymphocyte	Lymphocyte count	biological measures
log_mean_carotid_IMT	Mean carotid IMT (intima-medial thickness) at 120/150/210/240 degrees	physical measures
log_microalbumin_urine	Microalbumin in urine	biological measures
log_monocyte	Monocyte count	biological measures
log_neutrophil	Neutrophil count	biological measures
log_platelet	Platelet count	biological measures
log_platelet_crit	Platelet crit	biological measures
log_platelet_volume	Mean platelet (thrombocyte) volume	biological measures
log_platelet_width	Platelet distribution width	biological measures
log_potassium_urine	Potassium in urine	biological measures
log_pulse_rate	Pulse rate, automated reading	physical measures
log_reticulocyte	Reticulocyte count	biological measures
log_rheumatoid_factor	Rheumatoid factor	biological measures
log_SHBG	Sex hormone binding globulin (SHBG)	biological measures
log_sleep	Sleep duration	lifestyle and environment
log_triglycerides	Triglycerides	biological measures
log_urea	Urea	biological measures
log_ventricular_rate	Ventricular rate	physical measures
log_vitaminD	Vitamin D	biological measures
log_waist_circ	Waist circumference	physical measures
log_water_mass	Whole body water mass	physical measures
logMAR	logMAR in round (left/right)	physical measures
lymphocyte_perc	Lymphocyte percentage	biological measures
M_height	Standing height (males only)	physical measures
M_less_hair	Hair/balding pattern	sex-specific factors
M_log_oestradiol	Oestradiol (male only)	biological measures
M_log_testosterone	Testosterone (male only)	biological measures
MCH	Mean corpuscular haemoglobin	biological measures
MCV	Mean corpuscular volume	biological measures
monocyte_perc	Monocyte percentage	biological measures
more_evening	Morning/evening person (chronotype)	lifestyle and environment
more_sunscreen	Use of sun/uv protection	lifestyle and environment
myopia	Myopia diagnosis	physical measures
narcolepsy	Daytime dozing / sleeping (narcolepsy)	physical measures
neuroticism	Neuroticism score	psychiatric disorders
neutrophil_perc	Neutrophil percentage	biological measures
no_sex	Age first had sexual intercourse	lifestyle and environment
phosphate	Phosphate	biological measures
play_computer	Plays computer games	lifestyle and environment
poorer_health	Overall health rating	lifestyle and environment
postpartum_depression	Postpartum depression	psychiatric disorders
protein	Total protein	biological measures
red_hair	Hair colour (natural, before greying)	physical measures
reticulocyte_volume	Mean reticulocyte volume	biological measures
self_harm_thoughts	Ever contemplated self-harm / Recent thoughts of suicide or self-harm	psychiatric disorders
sensitive_stomach	Sensitive stomach	digestive
sitting_height	Sitting height	physical measures
sleeping_too_much	Sleeping too much	lifestyle and environment
snoring	Snoring	physical measures
sodium_urine	Sodium in urine	biological measures
sphered_cell_volume	Mean sphered cell volume	biological measures
systolic_BP	Systolic blood pressure, automated reading	physical measures
urate	Urate	biological measures
waking_too_early	Waking too early	lifestyle and environment
water_intake	Water intake	lifestyle and environment
years_of_edu	Qualifications (years of education)	lifestyle and environment
